game_slug,external_id,name,name_ko,image_url,primary_position,price,team,team_ko,era,description_ko,attribute_json,estimated,source,notes,confidence
slam-dunk,sd-uekusa,Uekusa Tomoyuki,우병만,,PG,8,Ryonan,능남고,manga,능남 starter PG. 안정적 게임 메이커.,"{""height_cm"":173,""year"":3,""assist"":""A"",""dribble"":""A""}",false,https://en.wikipedia.org/wiki/Tomoyuki_Uekusa,,0.88
slam-dunk,sd-koshino,Koshino Hiroaki,월스 (능남),,SG,9,Ryonan,능남고,manga,능남 SG. 윤대협 친구. 화 잘 냄.,"{""height_cm"":178,""year"":3,""three_point"":""B+"",""scoring"":""B+""}",false,https://en.wikipedia.org/wiki/Hiroaki_Koshino,한글 표기 추정,0.85
slam-dunk,sd-fujima,Fujima Kenji,김수겸,,PG,20,Shoyo,상양고,manga,상양 캡틴 + 코치. 일본 주니어 대표. 미남.,"{""height_cm"":178,""year"":3,""assist"":""S"",""scoring"":""A"",""leadership"":""S+"",""defense"":""A""}",false,https://en.wikipedia.org/wiki/Kenji_Fujima,,0.93
slam-dunk,sd-hanagata,Hanagata Toru,신준섭,,C,13,Shoyo,상양고,manga,상양 안경 C. 196cm. 김수겸 친구. 절제된 플레이.,"{""height_cm"":196,""year"":3,""rebound"":""A"",""block"":""A"",""scoring"":""B+""}",false,https://en.wikipedia.org/wiki/Toru_Hanagata,한국어판 정식 명칭,0.9
slam-dunk,sd-itakura,Itakura,장권혁 (상양),,SG,5,Shoyo,상양고,manga,상양 starter SG. 단역.,"{""height_cm"":180,""year"":2,""scoring"":""B""}",true,,단역 캐릭터 추정,0.7
slam-dunk,sd-maki,Maki Shinichi,이정환,,PG,22,Kainan,해남대부속고,manga,해남 캡틴. 일본 최강 PG. King Kong 별명. 강인한 PG.,"{""height_cm"":184,""year"":3,""scoring"":""S"",""dribble"":""S+"",""leadership"":""S+"",""stamina"":""S""}",false,https://en.wikipedia.org/wiki/Shinichi_Maki,,0.95
slam-dunk,sd-jin,Jin Soichiro,전호장,,SG,18,Kainan,해남대부속고,manga,해남 3점 슛 전문. 일본 최고 3점 슈터. 무표정.,"{""height_cm"":187,""year"":3,""three_point"":""S+"",""scoring"":""A"",""mentality"":""S""}",false,https://en.wikipedia.org/wiki/Soichiro_Jin,,0.94
slam-dunk,sd-kiyota,Kiyota Nobunaga,고민구,,SF,16,Kainan,해남대부속고,manga,1학년 신성. 야성적인 SF. 서태웅 라이벌. 자칭 super rookie.,"{""height_cm"":188,""year"":1,""scoring"":""A+"",""defense"":""A"",""speed"":""A"",""mentality"":""B-""}",false,https://en.wikipedia.org/wiki/Nobunaga_Kiyota,,0.93
slam-dunk,sd-takasago,Takasago Eiji,강동준,,C,11,Kainan,해남대부속고,manga,해남 C. 변덕규와 라이벌. 둥근 얼굴.,"{""height_cm"":196,""year"":3,""rebound"":""A"",""block"":""B+""}",false,https://en.wikipedia.org/wiki/Eiji_Takasago,,0.88
slam-dunk,sd-muto,Muto Tadashi,무수마,,SF,7,Kainan,해남대부속고,manga,해남 starter F. 안정적.,"{""height_cm"":188,""year"":3,""scoring"":""B+"",""defense"":""B+""}",false,https://en.wikipedia.org/wiki/Tadashi_Muto,,0.87
slam-dunk,sd-sawakita,Sawakita Eiji,정우성,,SF,28,Sannoh,산왕공고,manga,일본 No.1 고교 SF. 산왕 에이스. 미국행 예정. 완전체.,"{""height_cm"":190,""year"":2,""scoring"":""S+"",""defense"":""S+"",""dribble"":""S+"",""mentality"":""S""}",false,https://en.wikipedia.org/wiki/Eiji_Sawakita,,0.96
slam-dunk,sd-fukatsu,Fukatsu Tetsuji,이명헌,,PG,17,Sannoh,산왕공고,manga,산왕 캡틴 PG. 침착한 게임 메이커. 일본 최고 PG 중 하나.,"{""height_cm"":172,""year"":3,""assist"":""S"",""leadership"":""S"",""mentality"":""S""}",false,https://en.wikipedia.org/wiki/Tetsuji_Fukatsu,한국어판 정식 명칭,0.93
slam-dunk,sd-kawata-m,Kawata Masashi,신현철,,C,24,Sannoh,산왕공고,manga,일본 No.1 C. 산왕 대장. 동생은 신현필. 산왕의 진정한 에이스.,"{""height_cm"":188,""year"":3,""scoring"":""S"",""rebound"":""S+"",""defense"":""S"",""block"":""S""}",false,https://en.wikipedia.org/wiki/Masashi_Kawata,한국어판 정식 명칭,0.95
slam-dunk,sd-kawata-t,Kawata Tora,신현필,,PF,12,Sannoh,산왕공고,manga,채민준 동생. 1학년 빅맨. 196cm. 형보다 사이즈는 커.,"{""height_cm"":196,""year"":1,""rebound"":""A"",""scoring"":""B+"",""defense"":""A""}",false,https://en.wikipedia.org/wiki/Tora_Kawata,,0.9
slam-dunk,sd-nobe,Nobe Kotaro,한정대,,SG,9,Sannoh,산왕공고,manga,산왕 SG. 키 큰 슈터.,"{""height_cm"":190,""year"":3,""three_point"":""A"",""scoring"":""B+""}",false,https://en.wikipedia.org/wiki/Kotaro_Nobe,,0.88
slam-dunk,sd-matsumoto,Matsumoto Daisuke,홍익현,,SF,7,Sannoh,산왕공고,manga,산왕 백업 SF. 정우성 대체.,"{""height_cm"":188,""year"":3,""scoring"":""B+""}",true,,한글 표기 추정,0.75
slam-dunk,sd-minami,Minami Rikio,한성호,,PF,13,Hosen,풍전고,manga,표은 캡틴. 거친 농구. 송태섭과 충돌.,"{""height_cm"":188,""year"":3,""scoring"":""A"",""defense"":""B"",""mentality"":""C+""}",false,https://en.wikipedia.org/wiki/Rikio_Minami,,0.88
slam-dunk,sd-iwakura,Iwakura Tetsuo,이쿠가와 (북산 정대만 친구),,SF,3,Independent,비공식,manga,정대만 탈선 시절 친구. 체육관 사건. 농구부 아님.,"{""height_cm"":180,""year"":3,""scoring"":""D""}",false,https://en.wikipedia.org/wiki/Tetsuo_Iwakura,농구부 X 참고만,0.85
slam-dunk,sd-domoto,Domoto Coach,도모토 감독,,C,1,Sannoh,산왕공고,manga,산왕 명장 감독. 선수 X 코치 참고만.,"{""coaching"":""S+"",""is_player"":false}",false,https://en.wikipedia.org/wiki/Domoto,코치 — 선수 아닌데 표시용,0.85
