카테고리,트리거_조건,수치,호칭_이름(안),설명_및_비고
글쓰기,총 게시글,1,첫 글,첫 게시글 [즉시가능]
글쓰기,총 게시글,10,수다쟁이,10개 글 [즉시가능]
글쓰기,총 게시글,50,이야기꾼,50개 글 [즉시가능]
글쓰기,총 게시글,100,글쟁이,100개 글 [즉시가능]
글쓰기,총 게시글,500,다작 작가,500개 글 [즉시가능]
글쓰기,총 게시글,1000,만필가,1000개 글 [즉시가능]
글쓰기,단일 글 추천 10+,10,인기글 작성자,추천 10+ 글 [즉시가능]
글쓰기,단일 글 추천 50+,50,핫글 메이커,추천 50+ 글 [즉시가능]
글쓰기,단일 글 추천 100+,100,전설의 글,추천 100+ 글 [즉시가능]
글쓰기,단일 글 조회 100+,100,주목받는 작가,조회 100+ [즉시가능]
글쓰기,단일 글 조회 1000+,1000,천 명이 읽다,조회 1000+ [즉시가능]
글쓰기,단일 글 댓글 20+,20,토론 유발자,댓글 20+ 글 [즉시가능]
글쓰기,단일 글 댓글 50+,50,떡밥 장인,댓글 50+ 글 [즉시가능]
글쓰기,단일 글 온도 80+,80,뜨거운 감자,온도 80+ 글 [즉시가능]
글쓰기,5개 게시판에 글,5,유목민,5커뮤니티 글 [즉시가능]
글쓰기,10개 게시판에 글,10,올라운더,전게시판 글 [즉시가능]
글쓰기,축구판 글 100,100,축구 칼럼니스트,축구 100글 [즉시가능]
글쓰기,야구판 글 100,100,야구 해설위원,야구 100글 [즉시가능]
flair,정보 flair 글 10+,10,정보통,정보글 10 [즉시가능]
flair,정보 flair 글 50+,50,해설위원급,정보글 50 [즉시가능]
flair,분석 flair 글 10+,10,분석 입문,분석글 10 [즉시가능]
flair,분석 flair 글 50+,50,전술 분석가,분석글 50 [즉시가능]
flair,잡담 flair 글 20+,20,수다 한 바가지,잡담글 20 [즉시가능]
flair,움짤 flair 글 10+,10,짤 장인,움짤글 10 [즉시가능]
flair,움짤 flair 글 50+,50,짤방 대장,움짤글 50 [즉시가능]
flair,뉴스 flair 글 10+,10,뉴스 배달부,뉴스글 10 [즉시가능]
flair,뉴스 flair 글 50+,50,기자급 전달자,뉴스글 50 [즉시가능]
flair,질문 flair 글 10+,10,질문왕,질문글 10 [즉시가능]
flair,5개 이상 flair 사용,5종,다재다능,5종 flair [즉시가능]
추천,받은 총 추천,10,첫 인정,추천 10 [즉시가능]
추천,받은 총 추천,50,관심 받는 사람,추천 50 [즉시가능]
추천,받은 총 추천,100,인기인,추천 100 [즉시가능]
추천,받은 총 추천,500,스타 작성자,추천 500 [즉시가능]
추천,받은 총 추천,1000,명예의 전당,추천 1000 [즉시가능]
추천,준 추천 수,10,좋아요 입문,추천 10번 [즉시가능]
추천,준 추천 수,100,응원단장,추천 100번 [즉시가능]
추천,준 추천 수,500,엄지척 장인,추천 500번 [즉시가능]
추천,준 추천 수,1000,만능 서포터,추천 1000번 [즉시가능]
댓글,총 댓글 수,1,첫 한마디,첫 댓글 [즉시가능]
댓글,총 댓글 수,10,수다 한 줌,10 댓글 [즉시가능]
댓글,총 댓글 수,50,대화의 달인,50 댓글 [즉시가능]
댓글,총 댓글 수,100,댓글 부자,100 댓글 [즉시가능]
댓글,총 댓글 수,500,키보드 워리어,500 댓글 [즉시가능]
댓글,총 댓글 수,1000,만평가,1000 댓글 [즉시가능]
댓글,댓글 추천 합계,10,공감 유발자,댓글추천 10 [즉시가능]
댓글,댓글 추천 합계,50,베댓러,댓글추천 50 [즉시가능]
댓글,댓글 추천 합계,100,댓글의 신,댓글추천 100 [즉시가능]
댓글,스티커 댓글 10+,10,스티커 애호가,스티커댓 10 [즉시가능]
댓글,스티커 댓글 50+,50,스티커 중독자,스티커댓 50 [즉시가능]
출석,가입 후 7일,7일,1주일 버텼다,가입 7일 [즉시가능]
출석,가입 후 30일,30일,한 달의 기록,가입 30일 [즉시가능]
출석,가입 후 90일,90일,3개월 고참,가입 90일 [즉시가능]
출석,가입 후 180일,180일,반년 전사,가입 180일 [즉시가능]
출석,가입 후 365일,365일,1년 베테랑,가입 1년 [즉시가능]
출석,활동 일수,7,일주일 출석,7일 활동 [즉시가능]
출석,활동 일수,30,월간 개근,30일 활동 [즉시가능]
출석,활동 일수,100,100일 출석,100일 활동 [즉시가능]
출석,활동 일수,365,개근상,365일 활동 [즉시가능]
화폐,토큰 총 획득 10000+,10000,토큰 수집가,만 토큰 [즉시가능]
화폐,토큰 총 획득 100000+,100000,토큰 부자,10만 토큰 [즉시가능]
화폐,토큰 총 획득 1000000+,1000000,토큰 재벌,100만 토큰 [즉시가능]
화폐,골드 잔액 100+,100,금고 열었다,골드 100 [즉시가능]
화폐,골드 잔액 1000+,1000,금광 발견,골드 1000 [즉시가능]
화폐,골드 잔액 10000+,10000,골드 대부호,골드 10000 [즉시가능]
화폐,골드 소비 합계 500+,500,소비는 미덕,골드 500소비 [집계테이블필요]
화폐,골드 소비 합계 5000+,5000,쇼핑왕,골드 5000소비 [집계테이블필요]
소셜,팔로워 1+,1,첫 팬,팔로워 1명 [즉시가능]
소셜,팔로워 10+,10,소소한 인기,팔로워 10명 [즉시가능]
소셜,팔로워 50+,50,인플루언서,팔로워 50명 [즉시가능]
소셜,팔로워 100+,100,셀럽,팔로워 100명 [즉시가능]
소셜,팔로잉 10+,10,구독 애호가,10명 팔로잉 [즉시가능]
소셜,커뮤니티 구독 3+,3,세 갈래 팬,3개 구독 [즉시가능]
소셜,커뮤니티 구독 10+,10,전게시판 구독자,10개 구독 [즉시가능]
소셜,북마크 10+,10,스크랩 입문,북마크 10 [즉시가능]
소셜,북마크 50+,50,수집의 달인,북마크 50 [즉시가능]
소셜,북마크 100+,100,도서관장,북마크 100 [즉시가능]
수집,스티커 소유 5+,5,스티커 입문,5개 소유 [즉시가능]
수집,스티커 소유 20+,20,스티커 마니아,20개 소유 [즉시가능]
수집,스티커 소유 50+,50,스티커 컬렉터,50개 소유 [즉시가능]
수집,스티커 제작 1+,1,밈 크리에이터,첫 제작 [즉시가능]
수집,스티커 제작 5+,5,밈 공장장,5개 제작 [즉시가능]
수집,내 스티커 판매 10+,10,스티커 사업가,판매 10 [즉시가능]
수집,내 스티커 판매 100+,100,스티커 재벌,판매 100 [즉시가능]
수집,픽셀아트 소유 1+,1,첫 픽셀,1개 소유 [즉시가능]
수집,픽셀아트 소유 5+,5,픽셀 수집가,5개 소유 [즉시가능]
수집,픽셀아트 소유 10+,10,픽셀 마스터,10개 소유 [즉시가능]
수집,한정판 픽셀아트 소유,1,레어 헌터,한정판 [즉시가능]
배틀,응원배틀 참여 1+,1,첫 응원,첫 참여 [즉시가능]
배틀,응원배틀 참여 10+,10,응원 단골,10번 참여 [즉시가능]
배틀,월드컵 완료 1+,1,첫 월드컵,첫 완료 [즉시가능]
배틀,월드컵 완료 10+,10,월드컵 마니아,10번 완료 [즉시가능]
배틀,배틀 댓글 50+,50,응원 전사,배틀댓 50 [즉시가능]
배틀,배틀 댓글 200+,200,응원 대장,배틀댓 200 [즉시가능]
뉴스,뉴스 댓글 1+,1,뉴스 리액터,첫 뉴스댓 [즉시가능]
뉴스,뉴스 댓글 10+,10,뉴스 논객,뉴스댓 10 [즉시가능]
뉴스,뉴스 댓글 50+,50,뉴스 앵커,뉴스댓 50 [즉시가능]
레벨,게시판 레벨 5+,Lv5,중견 팬,레벨 5 [즉시가능]
레벨,게시판 레벨 10,Lv10,최고 레벨,레벨 10 [즉시가능]
레벨,명사 칭호 3+,3,칭호 수집가,명사 3개 [즉시가능]
레벨,명사 칭호 10+,10,칭호 마니아,명사 10개 [즉시가능]
레벨,형용사 칭호 3+,3,트로피 캐비넷,형용사 3개 [즉시가능]
레벨,형용사 칭호 10+,10,업적 사냥꾼,형용사 10개 [즉시가능]
레벨,형용사 칭호 30+,30,칭호 만렙,형용사 30개 [즉시가능]
복합,글50+댓글100+추천100+,복합,커뮤니티 핵심 멤버,글/댓글/추천 [즉시가능]
복합,예측100+글50+경기장10+,복합,올라운드 팬,3기능 활용 [즉시가능]
복합,팔로워10+글추천100+,복합,미니 인플루언서,팔로워+콘텐츠 [즉시가능]
복합,4종목예측+4종목글쓰기,복합,진정한 스포츠 팬,전종목 [즉시가능]
복합,스티커제작+판매10+사용50+,복합,밈 생태계 기여자,전주기 [즉시가능]
복합,적중률70%+시즌10위,복합,엘리트 예측가,적중+랭킹 [즉시가능]
복합,온도80+글+댓글50+글,복합,핫이슈 메이커,핫글+토론 [즉시가능]
복합,3팀투자각1000+,복합,멀티 구단주,고액투자 [즉시가능]
복합,가입365일+글100+예측100+,복합,1년차 베테랑,장기활동 [즉시가능]
복합,전게시판+전종목+경기장,복합,사이트 마스터,전기능 [즉시가능]
히든,자기 글에 첫 댓글,1,셀프 리플,자기글댓 [즉시가능]
히든,새벽 3-5시 활동,1,야행성 팬,새벽활동 [집계테이블필요]
히든,크리스마스 활동,1,크리스마스 팬,12/25 [집계테이블필요]
히든,설날 활동,1,새해 첫 팬,1/1 [집계테이블필요]
히든,가입 1시간내 전기능,1,스피드 런,가입직후 [집계테이블필요]
히든,10일 연속 예측,10일,꾸준함의 미학,연속예측 [집계테이블필요]
히든,비추 10+ 글 보유,10,논란의 중심,비추10+ [즉시가능]
히든,무승부 정확 예측,1,수비축구 예찬,0:0적중 [집계테이블필요]
히든,초기 가입자 TOP100,100,파운딩 멤버,초기유저 [즉시가능]
히든,100/1000번째 글,특정,마일스톤,N번째글 [집계테이블필요]
