id,이름,포지션,몸값
a152,피에로 인카피에,DF,8
a153,맥스 다우먼,MF,5
a154,오스턴 트러스티,DF,4
a155,데니스 수아레스,MF,4
a156,앤서니 스톡스,FW,4
a157,아르투로 루폴리,FW,3
a158,세르주 그나브리,FW,4
a159,이그나시 미켈,DF,4
a160,에마뉘엘 프림퐁,MF,5
a161,매트 라이언,GK,4
a162,파브리스 무암바,MF,4
a163,프란 메리다,MF,3
a164,찰리 파티노,MF,4
a165,카를 하인,GK,4
a166,에단 은와네리,MF,6
a167,카일 바틀리,DF,3
a168,호바르 노르드트베이트,DF,3
a169,코너 헨더슨,MF,3
a170,매트 마세이,GK,3
a171,노르베르토 네투,GK,3
a172,라힘 스털링,FW,3
a173,세바스티안 스배르,MF,3
a174,마크 랜들,MF,3
a175,제이 심슨,FW,3
a176,나세르 바라지트,MF,3
a177,미야이치 료,FW,3
a178,이스마엘 베나세르,MF,3
a179,프랜시스 제퍼스,FW,3
a180,크리스티안 비엘리크,MF,2
a181,그레이엄 스택,GK,2
a182,추바 아크폼,FW,2
a183,글렌 카마라,MF,2
a184,스테피 마비디디,FW,2
a185,아서 오콘크워,GK,2
a186,타이리스 존-줄스,FW,2
a187,아모리 비쇼프,MF,2
a188,척스 아네케,MF,2
a189,다니엘 보아텡,DF,1
a190,게디온 젤랄렘,MF,1
a191,크리스 윌록,MF,1
a192,네이선 버틀러-오예데지,FW,1
a193,카탈린 치르얀,MF,1
a194,브룩 노턴-커피,DF,1
a195,토미 셋포드,GK,1
a196,벤 시프,MF,1
a197,카욘 에드워즈,FW,1
a198,찰스 사고에 주니어,FW,1
a199,제인 몬루이스,DF,1
