이름,포지션,몸값
폴라린 발로건,FW,$5
라미 샤반,GK,$5
헨리 랜스버리,MF,$5
라사나 디아라,MF,$5
크리스티안 노르고르,MF,$5
피에로 인카피에,DF,$5
루나르 알렉스 루나르손,GK,$5
오스턴 트러스티,DF,$4
데니스 수아레스,MF,$4
앤서니 스톡스,FW,$4
아르투로 루폴리,FW,$4
세르주 그나브리,FW,$4
이그나시 미켈,DF,$4
에마뉘엘 프림퐁,MF,$4
매트 라이언,GK,$4
기욤 바르무스,GK,$4
케레아 길버트,DF,$4
라이언 게리,DF,$4
파브리스 무암바,MF,$4
프란 메리다,MF,$4
찰리 파티노,MF,$4
카를 하인,GK,$4
이선 응와네리,MF,$4
매튜 코널리,DF,$3
카일 바틀리,DF,$3
호바르 노르드트베이트,DF,$3
코너 헨더슨,MF,$3
매트 마세이,GK,$3
노르베르토 네투,GK,$3
라힘 스털링,FW,$3
세바스티안 스배르,MF,$3
모리츠 폴츠,DF,$3
마크 랜들,MF,$3
제이 심슨,FW,$3
나세르 바라지트,MF,$3
질 수누,FW,$3
미야이치 료,FW,$3
이스마엘 베나세르,MF,$3
프랜시스 제퍼스,FW,$3
맥스 다우먼,MF,$3
크리스티안 비엘리크,MF,$2
제프 레인-아델라이드,MF,$2
그레이엄 스택,GK,$2
프랭키 시멕,DF,$2
추바 아크폼,FW,$2
글렌 카마라,MF,$2
스테피 마비디디,FW,$2
아서 오콘크워,GK,$2
톨라지 볼라,DF,$2
제크 메들리,DF,$2
타이리스 존-줄스,FW,$2
아모리 비쇼프,MF,$2
척스 아네케,MF,$2
다니엘 보아텡,DF,$1
게디온 젤랄렘,MF,$1
크리스 윌록,MF,$1
데얀 일리에프,GK,$1
네이선 버틀러-오예데지,FW,$1
카탈린 치르얀,MF,$1
브룩 노턴-커피,DF,$1
이나모토 준이치,MF,$1
리웰 월터스,DF,$1
토미 셋포드,GK,$1
벤 시프,MF,$1
카욘 에드워즈,FW,$1
찰스 사고에 주니어,FW,$1
마르쿠스 비니시우스,DF,$1
말디니 카쿠리,DF,$1
살라-에딘 울라드 음하드,MF,$1
제인 몬루이스,DF,$1
